Method|ThreadCount|BlobName|SizeMB|Mbps|MilliSec
ServiceSideAsyncCopy | 32 | 001MB/File07.dat | 1.0 | .72 | 11106.69
ServiceSideAsyncCopy | 32 | 010MB/File08.dat | 10.0 | 7.08 | 11293.20
ServiceSideAsyncCopy | 32 | 001MB/File01.dat | 1.0 | .58 | 13852.16
ServiceSideAsyncCopy | 32 | 001MB/File09.dat | 1.0 | .52 | 15517.03
ServiceSideAsyncCopy | 32 | 001MB/File08.dat | 1.0 | .51 | 15722.88
ServiceSideAsyncCopy | 32 | 010MB/File09.dat | 10.0 | 4.79 | 16708.20
ServiceSideAsyncCopy | 32 | 001MB/File05.dat | 1.0 | .42 | 19126.76
ServiceSideAsyncCopy | 32 | 010MB/File01.dat | 10.0 | 3.82 | 20947.93
ServiceSideAsyncCopy | 32 | 010MB/File04.dat | 10.0 | 3.75 | 21338.30
ServiceSideAsyncCopy | 32 | 010MB/File00.dat | 10.0 | 3.17 | 25228.66
ServiceSideAsyncCopy | 32 | 010MB/File05.dat | 10.0 | 3.07 | 26070.47
ServiceSideAsyncCopy | 32 | 010MB/File06.dat | 10.0 | 2.86 | 27968.56
ServiceSideAsyncCopy | 32 | 010MB/File03.dat | 10.0 | 2.80 | 28579.08
ServiceSideAsyncCopy | 32 | 100MB/File06.dat | 100.0 | 21.66 | 36938.39
ServiceSideAsyncCopy | 32 | 100MB/File04.dat | 100.0 | 19.41 | 41212.77
ServiceSideAsyncCopy | 32 | 100MB/File03.dat | 100.0 | 14.59 | 54829.30
ServiceSideAsyncCopy | 32 | 100MB/File09.dat | 100.0 | 14.12 | 56655.67
ServiceSideAsyncCopy | 32 | 100MB/File07.dat | 100.0 | 11.15 | 71779.80
ServiceSideAsyncCopy | 32 | 100MB/File08.dat | 100.0 | 10.76 | 74381.58
ServiceSideAsyncCopy | 32 | 100MB/File05.dat | 100.0 | 9.05 | 88426.53
ServiceSideAsyncCopy | 32 | 100MB/File02.dat | 100.0 | 8.68 | 92206.89
ServiceSideAsyncCopy | 32 | 100MB/File00.dat | 100.0 | 7.34 | 108981.88
ServiceSideAsyncCopy | 32 | 100MB/File01.dat | 100.0 | 7.28 | 109865.67
ServiceSideAsyncCopy-Total | 32 | 30 blobs | 1110.0 | 80.75 | 00:01:49.9706931
SyncCopy | 1 | 001MB/File00.dat | 1.0 | 6.84 | 1169.32
SyncCopy | 1 | 001MB/File01.dat | 1.0 | 13.14 | 608.66
SyncCopy | 1 | 001MB/File02.dat | 1.0 | 7.73 | 1035.22
SyncCopy | 1 | 001MB/File03.dat | 1.0 | 4.00 | 1998.89
SyncCopy | 1 | 001MB/File04.dat | 1.0 | 4.77 | 1678.68
SyncCopy | 1 | 001MB/File05.dat | 1.0 | 5.55 | 1442.60
SyncCopy | 1 | 001MB/File06.dat | 1.0 | 6.17 | 1296.90
SyncCopy | 1 | 001MB/File07.dat | 1.0 | 5.91 | 1352.75
SyncCopy | 1 | 001MB/File08.dat | 1.0 | 4.29 | 1864.66
SyncCopy | 1 | 001MB/File09.dat | 1.0 | 4.54 | 1762.42
SyncCopy | 1 | 010MB/File00.dat | 10.0 | 19.15 | 4176.54
SyncCopy | 1 | 010MB/File01.dat | 10.0 | 6.41 | 12477.94
SyncCopy | 1 | 010MB/File02.dat | 10.0 | 6.62 | 12075.84
SyncCopy | 1 | 010MB/File03.dat | 10.0 | 5.19 | 15400.69
SyncCopy | 1 | 010MB/File04.dat | 10.0 | 9.36 | 8551.14
SyncCopy | 1 | 010MB/File05.dat | 10.0 | 6.00 | 13323.93
SyncCopy | 1 | 010MB/File06.dat | 10.0 | 5.90 | 13560.01
SyncCopy | 1 | 010MB/File07.dat | 10.0 | 3.57 | 22413.62
SyncCopy | 1 | 010MB/File08.dat | 10.0 | 23.14 | 3456.86
SyncCopy | 1 | 010MB/File09.dat | 10.0 | 19.69 | 4063.92
SyncCopy | 1 | 100MB/File00.dat | 100.0 | 35.77 | 22362.19
SyncCopy | 1 | 100MB/File01.dat | 100.0 | 37.76 | 21188.95
SyncCopy | 1 | 100MB/File02.dat | 100.0 | 51.46 | 15545.72
SyncCopy | 1 | 100MB/File03.dat | 100.0 | 45.38 | 17629.19
SyncCopy | 1 | 100MB/File04.dat | 100.0 | 44.37 | 18029.53
SyncCopy | 1 | 100MB/File05.dat | 100.0 | 48.50 | 16496.08
SyncCopy | 1 | 100MB/File06.dat | 100.0 | 35.40 | 22600.77
SyncCopy | 1 | 100MB/File07.dat | 100.0 | 39.25 | 20381.56
SyncCopy | 1 | 100MB/File08.dat | 100.0 | 38.47 | 20797.35
SyncCopy | 1 | 100MB/File09.dat | 100.0 | 46.44 | 17228.09
SyncCopy-Total | 1 | 30 blobs | 1110.0 | 28.09 | 00:05:16.0734689
ServiceSideSyncCopy | 1 | 001MB/File00.dat | 1.0 | 6.53 | 1224.59
ServiceSideSyncCopy | 1 | 001MB/File01.dat | 1.0 | 14.19 | 563.82
ServiceSideSyncCopy | 1 | 001MB/File02.dat | 1.0 | 16.38 | 488.39
ServiceSideSyncCopy | 1 | 001MB/File03.dat | 1.0 | 12.90 | 619.96
ServiceSideSyncCopy | 1 | 001MB/File04.dat | 1.0 | 10.34 | 773.96
ServiceSideSyncCopy | 1 | 001MB/File05.dat | 1.0 | 11.38 | 702.74
ServiceSideSyncCopy | 1 | 001MB/File06.dat | 1.0 | 12.22 | 654.66
ServiceSideSyncCopy | 1 | 001MB/File07.dat | 1.0 | 11.72 | 682.80
ServiceSideSyncCopy | 1 | 001MB/File08.dat | 1.0 | 12.48 | 641.07
ServiceSideSyncCopy | 1 | 001MB/File09.dat | 1.0 | 10.11 | 790.93
ServiceSideSyncCopy | 1 | 010MB/File00.dat | 10.0 | 14.15 | 5653.32
ServiceSideSyncCopy | 1 | 010MB/File01.dat | 10.0 | 13.35 | 5993.29
ServiceSideSyncCopy | 1 | 010MB/File02.dat | 10.0 | 25.22 | 3171.59
ServiceSideSyncCopy | 1 | 010MB/File03.dat | 10.0 | 32.66 | 2449.34
ServiceSideSyncCopy | 1 | 010MB/File04.dat | 10.0 | 43.20 | 1852.01
ServiceSideSyncCopy | 1 | 010MB/File05.dat | 10.0 | 27.20 | 2941.29
ServiceSideSyncCopy | 1 | 010MB/File06.dat | 10.0 | 31.18 | 2565.82
ServiceSideSyncCopy | 1 | 010MB/File07.dat | 10.0 | 20.84 | 3838.77
ServiceSideSyncCopy | 1 | 010MB/File08.dat | 10.0 | 33.85 | 2363.26
ServiceSideSyncCopy | 1 | 010MB/File09.dat | 10.0 | 48.28 | 1656.90
ServiceSideSyncCopy | 1 | 100MB/File00.dat | 100.0 | 188.33 | 4247.92
ServiceSideSyncCopy | 1 | 100MB/File01.dat | 100.0 | 139.22 | 5746.24
ServiceSideSyncCopy | 1 | 100MB/File02.dat | 100.0 | 145.09 | 5513.94
ServiceSideSyncCopy | 1 | 100MB/File03.dat | 100.0 | 70.09 | 11414.22
ServiceSideSyncCopy | 1 | 100MB/File04.dat | 100.0 | 178.73 | 4476.13
ServiceSideSyncCopy | 1 | 100MB/File05.dat | 100.0 | 151.34 | 5286.12
ServiceSideSyncCopy | 1 | 100MB/File06.dat | 100.0 | 166.68 | 4799.51
ServiceSideSyncCopy | 1 | 100MB/File07.dat | 100.0 | 188.86 | 4235.99
ServiceSideSyncCopy | 1 | 100MB/File08.dat | 100.0 | 172.50 | 4637.78
ServiceSideSyncCopy | 1 | 100MB/File09.dat | 100.0 | 140.24 | 5704.68
ServiceSideSyncCopy-Total | 1 | 30 blobs | 1110.0 | 92.70 | 00:01:35.7969207
ServiceSideAsyncCopy | 1 | 001MB/File00.dat | 1.0 | 4.18 | 1915.78
ServiceSideAsyncCopy | 1 | 001MB/File01.dat | 1.0 | 3.00 | 2663.75
ServiceSideAsyncCopy | 1 | 001MB/File02.dat | 1.0 | 3.24 | 2469.24
ServiceSideAsyncCopy | 1 | 001MB/File03.dat | 1.0 | 3.21 | 2492.02
ServiceSideAsyncCopy | 1 | 001MB/File04.dat | 1.0 | 2.80 | 2854.94
ServiceSideAsyncCopy | 1 | 001MB/File05.dat | 1.0 | 3.02 | 2651.56
ServiceSideAsyncCopy | 1 | 001MB/File06.dat | 1.0 | 2.58 | 3101.88
ServiceSideAsyncCopy | 1 | 001MB/File07.dat | 1.0 | 3.19 | 2511.06
ServiceSideAsyncCopy | 1 | 001MB/File08.dat | 1.0 | 5.56 | 1439.01
ServiceSideAsyncCopy | 1 | 001MB/File09.dat | 1.0 | 6.48 | 1233.92
ServiceSideAsyncCopy | 1 | 010MB/File00.dat | 10.0 | 25.74 | 3107.54
ServiceSideAsyncCopy | 1 | 010MB/File01.dat | 10.0 | 35.29 | 2266.79
ServiceSideAsyncCopy | 1 | 010MB/File02.dat | 10.0 | 27.61 | 2897.75
ServiceSideAsyncCopy | 1 | 010MB/File03.dat | 10.0 | 32.03 | 2497.92
ServiceSideAsyncCopy | 1 | 010MB/File04.dat | 10.0 | 30.04 | 2663.36
ServiceSideAsyncCopy | 1 | 010MB/File05.dat | 10.0 | 22.70 | 3524.81
ServiceSideAsyncCopy | 1 | 010MB/File06.dat | 10.0 | 19.45 | 4112.48
ServiceSideAsyncCopy | 1 | 010MB/File07.dat | 10.0 | 15.89 | 5034.86
ServiceSideAsyncCopy | 1 | 010MB/File08.dat | 10.0 | 16.53 | 4841.01
ServiceSideAsyncCopy | 1 | 010MB/File09.dat | 10.0 | 17.60 | 4545.54
ServiceSideAsyncCopy | 1 | 100MB/File00.dat | 100.0 | 47.62 | 16799.15
ServiceSideAsyncCopy | 1 | 100MB/File01.dat | 100.0 | 55.20 | 14492.07
ServiceSideAsyncCopy | 1 | 100MB/File02.dat | 100.0 | 50.89 | 15719.01
ServiceSideAsyncCopy | 1 | 100MB/File03.dat | 100.0 | 66.85 | 11966.93
ServiceSideAsyncCopy | 1 | 100MB/File04.dat | 100.0 | 55.34 | 14455.69
ServiceSideAsyncCopy | 1 | 100MB/File05.dat | 100.0 | 45.83 | 17454.62
ServiceSideAsyncCopy | 1 | 100MB/File06.dat | 100.0 | 44.94 | 17801.05
ServiceSideAsyncCopy | 1 | 100MB/File07.dat | 100.0 | 56.64 | 14125.30
ServiceSideAsyncCopy | 1 | 100MB/File08.dat | 100.0 | 45.16 | 17715.60
ServiceSideAsyncCopy | 1 | 100MB/File09.dat | 100.0 | 47.15 | 16966.93
ServiceSideAsyncCopy-Total | 1 | 30 blobs | 1110.0 | 41.02 | 00:03:36.4834964
